GENE	CHR	START	END
MIR1302-2HG	1	29553	31109
FAM138A	1	34553	36081
OR4F5	1	65418	71585
AL627309.1	1	89294	133723
AL627309.3	1	89550	91105
AL627309.2	1	139789	140339
AL627309.5	1	141473	173862
AL627309.4	1	160445	161525
AP006222.2	1	266854	268655
AL732372.1	1	358856	366052
OR4F29	1	450702	451697
AC114498.1	1	587628	594768
OR4F16	1	685678	686673
AL669831.2	1	760910	761989
LINC01409	1	778746	810065
FAM87B	1	817370	819837
LINC01128	1	825137	868202
LINC00115	1	826205	827522
FAM41C	1	868070	876903
AL645608.6	1	904833	915976
AL645608.2	1	911434	914948
AL645608.4	1	914170	914971
LINC02593	1	916864	921016
SAMD11	1	923927	944581
NOC2L	1	944202	959309
KLHL17	1	960583	965719
PLEKHN1	1	966481	975865
PERM1	1	975203	982093
AL645608.7	1	995965	998051
HES4	1	998961	1000172
ISG15	1	1001137	1014540
AL645608.1	1	1011996	1013193
AGRN	1	1020119	1056118
AL645608.5	1	1055032	1056116
AL645608.8	1	1062207	1063288
RNF223	1	1070966	1074306
C1orf159	1	1081817	1116361
AL390719.3	1	1097584	1104598
LINC01342	1	1137016	1144056
AL390719.2	1	1169356	1170343
TTLL10-AS1	1	1173055	1179555
TTLL10	1	1173883	1197935
TNFRSF18	1	1203507	1206592
TNFRSF4	1	1211339	1214153
SDF4	1	1216907	1232067
B3GALT6	1	1232236	1235041
C1QTNF12	1	1242445	1246722
AL162741.1	1	1249776	1251334
UBE2J2	1	1253908	1273885
LINC01786	1	1275222	1280420
SCNN1D	1	1280435	1292029
ACAP3	1	1292389	1309609
PUSL1	1	1308596	1311677
INTS11	1	1311584	1324691
AL139287.1	1	1317580	1318689
CPTP	1	1324755	1328896
TAS1R3	1	1331279	1335314
DVL1	1	1335275	1349418
MXRA8	1	1352688	1361777
AURKAIP1	1	1373729	1375495
CCNL2	1	1385710	1399335
MRPL20-AS1	1	1399519	1402046
MRPL20	1	1401908	1407293
AL391244.2	1	1409095	1410618
ANKRD65	1	1418419	1421769
AL391244.1	1	1420244	1422691
TMEM88B	1	1426127	1427787
LINC01770	1	1430538	1434573
VWA1	1	1434860	1442882
ATAD3C	1	1449688	1470163
ATAD3B	1	1471764	1497848
ATAD3A	1	1512161	1534685
TMEM240	1	1534777	1540624
SSU72	1	1541672	1574863
AL645728.1	1	1574101	1577075
FNDC10	1	1598011	1600135
AL691432.4	1	1600313	1602703
AL691432.2	1	1613757	1615795
MIB2	1	1615414	1630610
MMP23B	1	1632162	1635263
CDK11B	1	1635226	1659012
FO704657.1	1	1659324	1662602
SLC35E2B	1	1659528	1692795
CDK11A	1	1702378	1724357
SLC35E2A	1	1724837	1745999
NADK	1	1751231	1780457
GNB1	1	1785284	1891117
AL109917.1	1	1891470	1892658
CALML6	1	1915107	1917296
TMEM52	1	1917589	1919279
CFAP74	1	1921950	2003837
AL391845.2	1	2013212	2015639
GABRD	1	2019328	2030758
AL391845.1	1	2049202	2050070
PRKCZ	1	2050410	2185395
AL590822.2	1	2141083	2145279
PRKCZ-AS1	1	2181793	2184389
FAAP20	1	2184460	2212720
AL590822.1	1	2212522	2220738
SKI	1	2228318	2310213
AL590822.3	1	2315039	2323085
MORN1	1	2321252	2391707
AL589739.1	1	2326200	2326693
AL513477.2	1	2363060	2363628
RER1	1	2391774	2405442
PEX10	1	2403963	2413797
PLCH2	1	2425979	2505532
AL139246.1	1	2492299	2493258
AL139246.4	1	2493436	2494479
PANK4	1	2508536	2526611
HES5	1	2528744	2530263
AL139246.5	1	2530063	2547460
TNFRSF14-AS1	1	2549919	2557031
TNFRSF14	1	2555638	2565382
AL139246.3	1	2581559	2584533
PRXL2B	1	2586490	2591469
MMEL1	1	2590638	2633016
AL831784.1	1	2632567	2636620
TTC34	1	2635975	2801717
AC242022.2	1	2768090	2784733
AC242022.1	1	2773602	2776473
AL592464.2	1	2811849	2812692
AL592464.3	1	2814055	2817767
AL592464.1	1	2814431	2814998
AL589702.1	1	2960657	2968707
ACTRT2	1	3021466	3022903
PRDM16-DT	1	3059614	3068437
PRDM16	1	3069167	3438621
AL008733.1	1	3132926	3133709
AL590438.1	1	3306635	3310096
AL354743.2	1	3313051	3323149
AL354743.1	1	3367814	3373928
ARHGEF16	1	3454664	3481113
AL512413.1	1	3487245	3487627
MEGF6	1	3487950	3611508
AL513320.1	1	3623189	3624743
TPRG1L	1	3625014	3630127
WRAP73	1	3630766	3652761
TP73	1	3652515	3736201
AL136528.1	1	3658937	3668772
AL136528.2	1	3712199	3714298
CCDC27	1	3746459	3771645
SMIM1	1	3772760	3775982
LRRC47	1	3778558	3796498
AL365330.1	1	3785007	3785538
CEP104	1	3812085	3857214
DFFB	1	3857266	3885429
C1orf174	1	3889124	3900293
LINC01134	1	3900351	3917225
LINC01346	1	3940485	3955262
LINC01345	1	3944546	3949024
LINC02780	1	3976132	4012704
AL805961.1	1	4012920	4019508
LINC01777	1	4412026	4424689
AL355602.1	1	4479130	4484375
Z98747.1	1	4551734	4552145
LINC01646	1	4571480	4594016
AJAP1	1	4654608	4792534
Z98886.1	1	4730210	4734992
BX005132.1	1	4963953	4973298
LINC02781	1	4973380	4981568
LINC02782	1	5086458	5090899
AL139823.1	1	5301927	5307394
Z98259.3	1	5478735	5493057
Z98259.2	1	5480786	5482028
Z98259.1	1	5492977	5494674
AL365255.1	1	5561708	5668295
NPHP4	1	5862810	5992473
KCNAB2	1	5990926	6101193
CHD5	1	6101786	6180321
RPL22	1	6185019	6209389
AL031847.1	1	6204839	6205780
RNF207	1	6205474	6221299
ICMT	1	6221192	6235972
LINC00337	1	6234691	6239444
HES3	1	6244178	6245578
GPR153	1	6247352	6261098
ACOT7	1	6264268	6394391
AL031848.2	1	6393554	6394391
HES2	1	6412417	6424670
ESPN	1	6424775	6461367
AL031848.1	1	6443033	6447006
TNFRSF25	1	6460785	6466195
PLEKHG5	1	6466091	6520061
NOL9	1	6521346	6554513
TAS1R1	1	6555306	6579755
ZBTB48	1	6579993	6589280
KLHL21	1	6590723	6614607
PHF13	1	6613730	6624030
THAP3	1	6624865	6635586
DNAJC11	1	6634167	6701924
LINC01672	1	6724636	6730012
AL591163.1	1	6767953	6770038
CAMTA1-DT	1	6783891	6784843
CAMTA1	1	6785453	7769706
AL512330.1	1	7008375	7014279
CAMTA1-IT1	1	7368941	7370270
Z97987.1	1	7382486	7389754
AL365194.1	1	7441095	7441554
AL359881.3	1	7693123	7694844
AL359881.2	1	7698302	7698872
AL359881.1	1	7700703	7700970
VAMP3	1	7771295	7781432
Z98884.2	1	7776382	7776775
PER3	1	7784319	7845177
Z98884.1	1	7810241	7827342
UTS2	1	7843082	7853512
TNFRSF9	1	7915893	7943165
PARK7	1	7954290	7985505
AL034417.4	1	7991133	8005312
AL034417.3	1	7998186	7999934
ERRFI1	1	8004403	8026309
AL034417.2	1	8026737	8122702
LINC01714	1	8201517	8215210
AL358876.2	1	8218189	8220529
SLC45A1	1	8317825	8344167
RERE	1	8352396	8848921
RERE-AS1	1	8424644	8435013
AL357552.2	1	8805859	8807051
ENO1	1	8860999	8879190
ENO1-AS1	1	8878834	8879894
CA6	1	8945866	8975092
SLC2A7	1	9003299	9026345
SLC2A5	1	9035105	9088478
GPR157	1	9100304	9129102
MIR34AHG	1	9148010	9198906
LNCTAM34A	1	9182003	9196284
H6PD	1	9234774	9271337
SPSB1	1	9292893	9369532
BX323043.1	1	9421097	9422862
LINC02606	1	9425093	9440564
AL928921.1	1	9501091	9503471
SLC25A33	1	9539464	9585173
TMEM201	1	9588910	9614877
PIK3CD	1	9651730	9729114
PIK3CD-AS1	1	9652609	9654586
PIK3CD-AS2	1	9672425	9687555
CLSTN1	1	9729025	9824526
CTNNBIP1	1	9848275	9910336
AL357140.1	1	9848317	9850154
AL357140.4	1	9900613	9908034
LZIC	1	9922112	9943407
AL357140.2	1	9942922	9949974
NMNAT1	1	9943427	9985501
AL603962.1	1	9983140	9984568
RBP7	1	9997205	10016021
UBE4B	1	10032831	10181239
KIF1B	1	10210804	10381603
AL139424.3	1	10381905	10387150
AL139424.2	1	10395415	10397432
PGD	1	10398591	10420511
AL139424.1	1	10429880	10430677
CENPS	1	10430432	10442808
CORT	1	10449718	10451902
DFFA	1	10456521	10472529
AL354956.1	1	10458554	10459338
PEX14	1	10472287	10630758
AL139423.2	1	10612221	10616452
CASZ1	1	10636603	10796650
AL139423.1	1	10639240	10654333
C1orf127	1	10946470	10982037
TARDBP	1	11012343	11026420
MASP2	1	11026522	11047239
AL109811.2	1	11029658	11030528
SRM	1	11054583	11060020
EXOSC10	1	11066617	11099869
AL109811.1	1	11068470	11073097
EXOSC10-AS1	1	11099674	11102100
MTOR	1	11106534	11262551
MTOR-AS1	1	11143897	11149537
ANGPTL7	1	11189354	11195981
UBIAD1	1	11273205	11296049
AL031291.1	1	11311733	11319093
DISP3	1	11479154	11537551
AL590989.1	1	11500802	11502016
LINC01647	1	11609467	11613358
